Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
CONSULTANT DEVOPS (H/F),sii,Nantes (44),vide,"Nantes (44)
Description du poste :sii atlantique c'est :
240 fungénieurs qui partagent un même esprit #collectif #partage
des clients grands comptes qui t'apporteront de la richesse technique, fonctionnelle et méthodologique
un suivi régulier et personnalisé : ton manager, ta référente rh et ta référente administrative seront là pour t'accompagner dans l'aventure sii
des moments de fun et de partage : afterworks, soirées d'agence, événements sportifs, petits déjeuners …
des speak up au moins tous les 15 jours
des formations régulières adaptées à tes envies et à ton évolution

bonjour à toi qui lit cette annonce,

marie-laure, marine et pauline, funrh, sommes missionnées par nos pilotes de projet pour renforcer nos équipes ! nous recherchons notre futur(e) consultant(e) devops.

que peut-on te promettre ? en tant que consultant(e), tu pourras intervenir sur les missions suivantes (cette liste n'étant pas exhaustive) :

automatiser les déploiements, de la validation technique, des chargements de données ainsi que de la supervision
accompagner les équipes projets sur les outillages de déploiement

en fonction de tes compétences et aspirations, tu peux rejoindre notre équipe d'experts dont le rôle est multiple : veille technologique qui peut générer des speak up, missions d'expertise, expérimentations et des sujets divers (accompagnement aux entretiens d'embauche, participation aux salons …).

et si tu te lasses de ta mission ? toute l'équipe sera à ton écoute et nous te trouverons un nouveau projet.

et si tu veux évoluer ? la formation est l'un des piliers chez sii, nous t'accompagnons dans ton projet d'évolution et te trouverons une mission cohérente vis-à-vis de ce projet.

au-delà de ta mission nous te proposons de participer à la vie de l'agence : retrouver tes collègues autour d'un déjeuner technique, intégrer les communautés techniques et projets pour partager, échanger lors des soirées d'agence et participer au projet de développement de l'entreprise.

Description de l'entreprise :
le groupe sii est au cœur de l'innovation au service de grands comptes dans des secteurs d'ingénierie variés. sii est fier de compter aujourd'hui 10 000 experts à travers 80 implantations dans le monde.

animés de cette même passion pour la technologie et l'innovation, les collaborateurs sii peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. ils intègrent le mouvement #fungenieur dans lequel la créativité et l'esprit d'équipe sont mis à l'honneur.

au palmarès great place to work 2019, le groupe sii a également été labélisé happy candidate et meilleur employeur 2019 dans la catégorie high tech par le magazine capital. il est signataire de la charte de la diversité en entreprise. c'est une société handi-accueillante.

suivez-nous sur les réseaux sociaux : facebook, linkedin, viadeo ou twitter !

Profil recherché :
dans l'idéal (oui uniquement dans l'idéal, chez nous on ne cherche pas qu'un cv mais une collaboration durable), tu justifies d'une première expérience sur une mission similaire. tu as des connaissances sur du docker, unix, scripting (bash, python, powershell), web services.

tu veux en savoir plus ? notre équipe de funrh sera ravie de te rencontrer et de t'en dire plus !

au palmarès great place to work 2019, sii a également été labélisé happy candidate et meilleur employeur 2019 par la revue capital.

le groupe sii est signataire de la charte de la diversité en entreprise et est une entreprise handi-accueillante.

#li-mr1
JobinTree - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",13/10/2019,devops,Nantes,14/10/2019,vjk=cea21e53faa89528,vide,vide
Coach DevOps F/H,ADAYA CONSULTING,Nantes (44),vide,"Nantes (44)
CDI
Mission & Contexte :
Dans le cadre du renforcement de notre pôle « Chefferie de Projets », nous recherchons un Consultant (H/F) pour accompagner les équipes de notre client grand compte dans la compréhension de la démarche DevOps. Vous intervenez en tant que facilitateur/rice entre les équipes infrastructure et les équipes de développement. Vos missions principales :

Animation de la communauté DevOps constituée d’une quinzaine de personnes

Facilitation des retours d’expérience et du dialogue entre les pôles

Force de proposition pour fiabiliser les « produits » de l’équipe Agile

Evangélisation des bonnes pratiques Agiles/DevOps

Conseil et proposition sur l’ensemble du périmètre méthodologique des équipes

Déplacements ponctuels en région parisienne à prévoir

Compétences requises :
Méthodologie DevOps

Sensibilisation à l’Infra as Code et au Continious delivery

Change management et harmonisation des pratiques
Profil recherché De formation supérieure en informatique (Bac +5), vous avez au minimum 5 années d’expérience, dont une significative en environnement DevOps. Doté(e) d’en très bon relationnel et excellent(e) communiquant(e), vous êtes en mesure de vous positionner en tant que coach autour des bonnes pratiques de la méthodologie Agile/DevOps auprès d’équipes pluridisciplinaires.
Entreprise ADAYA Consulting

est une société de services qui accompagne ses clients dans toutes les phases de réalisations de leurs projets technologiques et industriels. Forts d'une riche expérience et de références très grands comptes, nous mettons tout en œuvre pour apporter pleine satisfaction à nos clients tout en restant

en adéquation avec les formations et les choix de nos collaborateurs.
Apec.fr - il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,devops,Nantes,14/10/2019,vjk=d20ee976230775ab,vide,cdi
Consultant DevOps (F/H),Groupe SII,Nantes (44),vide,"Nantes (44)
Description du poste :
SII Atlantique c’est :
240 Fungénieurs qui partagent un même esprit #collectif #partage
Des clients Grands Comptes qui t’apporteront de la richesse technique, fonctionnelle et méthodologique
Un suivi régulier et personnalisé : ton manager, ta référente RH et ta référente administrative seront là pour t’accompagner dans l’aventure SII
Des moments de fun et de partage : AfterWorks, Soirées d’agence, événements sportifs, petits déjeuners …
Des speak up au moins tous les 15 jours
Des formations régulières adaptées à tes envies et à ton évolution



Bonjour à toi qui lit cette annonce,
Marie-Laure, Marine et Pauline, FunRH, sommes missionnées par nos pilotes de projet pour renforcer nos équipes ! Nous recherchons notre futur(e) consultant(e) DevOps.
Que peut-on te promettre ? En tant que consultant(e), tu pourras intervenir sur les missions suivantes (cette liste n’étant pas exhaustive) :
Automatiser les déploiements, de la validation technique, des chargements de données ainsi que de la supervision
Accompagner les équipes projets sur les outillages de déploiement
En fonction de tes compétences et aspirations, tu peux rejoindre notre équipe d’experts dont le rôle est multiple : veille technologique qui peut générer des speak up, missions d’expertise, expérimentations et des sujets divers (accompagnement aux entretiens d’embauche, participation aux salons …).
Et si tu te lasses de ta mission ? Toute l’équipe sera à ton écoute et nous te trouverons un nouveau projet.
Et si tu veux évoluer ? La formation est l’un des piliers chez SII, nous t’accompagnons dans ton projet d’évolution et te trouverons une mission cohérente vis-à-vis de ce projet.
Au-delà de ta mission nous te proposons de participer à la vie de l’agence : retrouver tes collègues autour d’un déjeuner technique, intégrer les communautés techniques et projets pour partager, échanger lors des soirées d’agence et participer au projet de développement de l’entreprise.
Profil:
Dans l’idéal (oui uniquement dans l’idéal, chez nous on ne cherche pas qu’un CV mais une collaboration durable), tu justifies d’une première expérience sur une mission similaire. Tu as des connaissances sur du Docker, unix, scripting (bash, python, powershell), web services.
Tu veux en savoir plus ? Notre équipe de FunRH sera ravie de te rencontrer et de t’en dire plus !
Suivez nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter :@SII_Atlantique !
Au palmarès Great place To Work 2019, SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 par la revue Capital.
Le Groupe SII est signataire de la Charte de la diversité en entreprise et est une entreprise handi-accueillante.
#LI-MR1
Le Groupe SII est au cœur de l’innovation au service de grands comptes dans des secteurs d’ingénierie variés. SII est fier de compter aujourd’hui 10 000 experts à travers 80 implantations dans le monde.
Animés de cette même passion pour la technologie et l’innovation, les collaborateurs SII peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. Ils intègrent le mouvement #fungenieur dans lequel la créativité et l’esprit d’équipe sont mis à l’honneur.
Au palmarès Great place To Work 2019, le Groupe SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 dans la catégorie High Tech par le magazine Capital. Il est signataire de la Charte de la diversité en entreprise. C’est une société handi-accueillante.
Suivez-nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter !
Compétences :
Référence de l’annonce :
CD44-23
Expérience:
2-5 ans
Qualification:
Consultant
Rémunération:
Selon profil

POSTULER
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",12/10/2019,devops,Nantes,14/10/2019,vjk=654f157db7776f35,vide,vide
Spécialiste DevOps (H/F),DiliTrust,Nantes (44),vide,"Nantes (44)
CDI
Notre équipe DevOps accompagne l’expansion de nos plateformes et l’augmentation du nombre de produits à déployer, et grandit. Nous améliorons sans cesse le provisionnement de nos environnements, ainsi que nos capacités CI/CD en liaison avec l’équipe QA, et cherchons un.e ingénieur expérimenté.e pour épauler nos 3 DevOps. Nous travaillons en équipe avec l’ensemble des ingénieurs pour assurer un code production-friendly, mais également avec le RSSI pour assurer la sécurité de nos environnements certifiés ISO 27001 et de nos procédures, et avec bein d’autres départements encore.
Quelles seront vos activités au quotidien ?
Garantir la sécurité, la performance et la scalabilité des architectures techniques
Automatiser le provisionnement des environnements
Optimiser l’architecture des environnements et proposer de nouvelles méthodes
Coordonner les changements avec les hébergeurs sur les différents continents
Assurer la co-conception de solutions techniques avec l’équipe de développement
Investiguer les incidents de production et proposer des solutions
Réaliser la veille technologique et de sécurité
Documenter les procédures et bonnes pratiques utilisées
Intéressé(e) jusqu’ici ? Fantastique ! Mais ce poste est-il fait pour vous ?
Diplôme d’ingénieur reconnu
1 à 5 ans d’expérience dans le déploiement d’applications web sur Linux/Windows
Aisance avec la ligne de commande (bash/PowerShell)
Expérience dans la mise en place de pipelines CI/CD
Rigueur, minutie et concentration, capacité à effectuer des tâches critiques
Esprit d’initiative et capacité à mettre en place des outils ou procédures
Esprit d’équipe et capacité à contribuer au développement des autres équipiers
Expérience avec : LAMP, .NET, Jenkins ou ELK seraient de sérieux atouts
Expérience dans la sécurité ou la norme ISO 27001 serait un atout
Conditions : Nous vous attendons dès que possible pour un poste à temps plein rémunéré selon le profil
Avantages : Emplacement des bureaux, complémentaire santé, plan d’intéressement, collègues chaleureux et excellente ambiance au bureau
Localisation : Nantes, Paris ou Montréal à définir
Type d'emploi : CDI
Langue:
anglais (Requis)
Français (Requis)
il y a 3 jours
Signaler cette offre d'emploi",11/10/2019,devops,Nantes,14/10/2019,vjk=a4775d92e6ef2934,vide,cdi
CONSULTANT DEVOPS H/F RENNES,Umanis,Loire-Atlantique,vide,"Loire-Atlantique
LE LEADER FRANCAIS DE LA DATA RECRUTE.Rejoindre Umanis, c'est participer à une formidable aventure, celle d'une entreprise française en croissance continue, reconnue pour sa capacité d'innovation et son dynamisme.Umanis, c'est plus de 2700 passionnés de nouvelles technologies qui partagent les mêmes valeurs qu sont l'excellence, la responsabilité, le respect et la convivialité.Umanis, c'est une communauté avec une moyenne d'âge de 35 ans qui intervient en ingénierie de pointe sur les projets stratégiques des plus grands donneurs d'ordre ou pour le compte d'entreprises pour qui la data est vecteur de transformation.Umanis, c'est un management et une organisation au plus proche de ses collaborateurs pour vous accompagner dans votre parcours professionnel. Formation, certifications, MOOC, CPEC ; nous avons à coeur de vous faire évoluer en continu.VOS MISSIONS: Umanis Rennes est une agence à taille humaine qui regroupe une trentaine de collaborateurs en 2019. Pour toujours mieux se développer, nous sommes en quête de talents avides de nouvelles aventures bretonnes et souhaitant s’investir à nos côtés.Pour renforcer l’équipe en place, nous recherchons notre futur(e) Consultant(e) DevOps !En intégrant le projet de notre client, votre mission sera articulée autour de plusieurs axes : Apporter des solutions aux problématiques d’industrialisation et d’automatisationParticiper aux tests en conditions réelles, aux mises en productionDévelopper une vision transverse pour déceler les anomalies et proposer des actions préventives ou correctivesAccompagner et conseiller les équipes de développement et de productionAssurer une veille technologique sur les infrastructures virtualisées, l’orchestration de container, le déploiement automatisé et l’administration système. De formation supérieure en informatique, Ecoles d’Ingénieurs ou Universités, vous justifiez d’une ou plusieurs expériences en matière de méthodologie DevOps (3, 5, 10 ans d’expérience, ce n’est pas la quantité qui compte, c’est le talent et la passion !)Votre domaine de compétences couvre le développement applicatif orienté web et mobile ; la maîtrise des outils tels que Jenkins, Dicker, VmWare, Ansible ; le scripting (Bash, Python)et l’administration des systèmes Windows et Linux.Aimant le travail en équipe, vous vous décrivez volontiers comme quelqu’un de polyvalent, créatif et plein d’humour !Pourquoi Umanis ?Un suivi régulier et personnalisé par votre manager et votre référente RH.Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.Des moments de partage : soirées d’agence et afterworks, rencontres sportives…La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe.

Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.Notre objectif : continuer de grandir, sans jamais oublier le lien tissé avec chacun, car VOUS êtes notre valeur ajoutée !COMPETENCES REQUISES: Anglais (Confirmé), Architecture fonctionnelle SI (Confirmé), Architecture technique SI (Avancé), Gestion des opérations (Confirmé), Gestion des risques (Avancé), Gouvernance SI (Intermédiaire), Intégration (Confirmé), Maîtrise des logiciels (Avancé), Résolution de problèmes complexes (Confirmé), Veille, analyse et gestion documentaire (Confirmé)En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français. Et si c'était vous ?
Handi-it.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,devops,Nantes,14/10/2019,vjk=5334f082ff3c4057,vide,vide
Ingénieur Devops / Cloud (H/F),EXTERNATIC,Nantes (44),vide,"Nantes (44)
CDI
DESCRIPTION DE L'OFFRE
Externatic, le hub d’opportunités web, mobile, informatique et électronique dans l’ouest.
Cabinet de recrutement technologique nous vous trouvons des postes chez des clients finaux (startup, éditeur, DSI, agences digitales, etc. => pas de SSII) depuis 2010. Chaque offre d’emploi correspond à un poste réel.
Notre mission : vous trouver le job de vos rêves !
-
Pourquoi ce poste :
Notre client est une société éditrice de logiciel qui a pour objectif d'accompagner ses clients sur des problématiques SIRH. Vous serez un véritable acteur de l'organisation agile mise en place. Vous évoluerez dans un contexte d'entreprise ou le bien être et la formation sont des priorités.
Qu'est ce que cela va vous apporter :
Vous serez entouré de personnes passionnée par leur métier et aurez l'opportunité de grandir et réellement progresser techniquement.
Votre mission :
Au sein du pôle DevOps et Cloud Infrastructure, dans une équipe entièrement tournée vers la transformation DevOps, vos activités seront :
Définir et Déployer les nouvelles infrastructures (container, CDN, Infra As Code) ;
Prendre en charge des solutions à l’aide des outils tels que Kubernetes, Jenkins, Terraform et ELK;
Automatiser et industrialiser les processus liés à l’exploitation de la plateforme de production (avec Puppet…) ;
Réaliser le support opérationnel auprès des utilisateurs internes et travailler activement avec l’équipe interne de R&D;
Surveiller et corriger les incidents de production (monitoring, sauvegarde).
Les plus :
Une politique RH bienveillant et qui fait sens.
Des locaux agréable
Un relation de confiance et de faire monter en compétences leurs collaborateurs.

PROFIL REQUIS

De formation supérieure en Informatique (Bac + 5, Ecole d'ingénieur), vous possédez une expérience significative en tant qu’ingénieur Systèmes et réseaux ou DevOps ;
Vous avez une bonne connaissance du scripting avec Powershell ou Python
Vous justifiez expérience en supervision et en exploitation de serveurs avec LAMP ou Windows;
Vous maîtrisez les environnements de production de grande échelle et surtout automatisée.
La maitrise d’au moins une des technologies « Cloud » (comme Puppet, Terraform, Docker, Kubernetes, …) est un vrai atout pour ce poste
il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",10/10/2019,devops,Nantes,14/10/2019,vjk=04cf246b7e13df92,vide,cdi
Ingénieur DevOps (H/F),APSIDE,Nantes (44),vide,"Nantes (44)
Le poste :
Votre personnalité :
– Vous souhaitez accompagner des utilisateurs dans les évolutions technologiques qu’ils peuvent connaître
– Vous aimez relever des défis dans un contexte métier exigeant et complexe
Alors ce poste d’Ingénieur DevOps/ Performance Applicative est fait pour vous !
Et la mission dans tout ça
Intégré(e) au sein d’une équipe technique, sous la conduite d’un chef de projet, vous serez responsable d’assurer l’intégration, la disponibilité et la performance d’applications métiers (banque/assurance, Transports). Vos missions sont diverses :
– Réalisation de l’intégration technique d’application,
– Automatiser les installations.
– Participer à l’élaboration des dossiers techniques pour l’exploitation et l’intégration, la mise en supervision et le monitoring des applications.
– Réaliser les travaux selon le respect du planning, conformément aux instructions des dossiers d’exploitation,
– Assurer le maintien en conditions opérationnelles des applications,
– Qualification/Organisation des opérations de production.
Les petits plus clients !
– Un cadre de travail agréable et dynamique,
– Une mobilité limitée à Nantes et son agglomération,
– Un groupe en pleine croissance,
– Un management bienveillant,
– Un suivi de carrière personnalisé !
Votre profil :
Possédant une bonne culture technique, notamment sur Java, vous êtes force de proposition dans la recherche des causes des problèmes de performance, et proposez des axes de recherche ou d’amélioration à l’équipe de développement. Vous maîtrisez les compétences techniques suivantes :
– Architecture Web (résilience, scalabilité)
– Environnement Linux
– Integration continue (jenkins, puppet, git, rundeck)
– Scripting (shell, python, groovybatch),
– Méthodes Agiles
– Technologies web (tomcat, nodejs, apache, nginx, haproxy, drupal, redis, varnish, kafka zookeeper)
– Développement (ruby, java) & nouvelles technos (mesos, kubernetes, swarm, docker)
La maitrise et une connaissance Cloud public (Aws, Azur) serait un plus.
Force de proposition, vous communiquez aisément à l’écrit comme à l’oral. Afin de définir au mieux le besoin de votre client, vous savez mettre votre esprit d’analyse au service de sujets fonctionnellement complexes et/ou nouveaux.
Nous rejoindre :
De bonnes raisons de rejoindre Apside
Alors qu’Apside ne cesse d’agrandir sa famille déjà forte de plus de 2800 consultants, nous sommes à la recherche des nouveaux talents du numérique !
– Participez et animez nos soirées techniques (Project Lab, Test Lab…),
– Devenez speaker (Devoxx, DevFest, NCraft…),
– Rejoignez l’Apside Academy (Meet up Agiles, Coding goûters…),
– Développez votre réseau (Soirées trimestrielles, Afterwork, Soirées d’intégration…),
– Rejoignez Nantes, 1ère ville de France où il fait bon vivre et travailler (à 50 min de la mer !),
Vous souhaitez donner un nouvel élan à votre carrière Ne cherchez plus, faites partie des 900 collaborateurs qui rejoindront Apside en 2019 !
Les Modalités :
Temps plein en CDI
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,devops,Nantes,14/10/2019,vjk=d27d521f1fa7d63e,vide,cdi
Ingénieur DevOps F/H,TALEND,Nantes (44),vide,"Nantes (44)
CDI
Talend recherche un/e Ingénieur DevOps pour rejoindre notre équipe grandissante dans notre bureau de Nantes. Dans ce rôle, vous serez responsable de la sécurité, de la stabilité et de l’évolutivité du service Talend Cloud.

En tant que membre de l'équipe SRE, vous aurez les responsabilités suivantes :

Maintenir et automatiser les opérations techniques de notre infrastructure cloud SaaS, y compris le déploiement et la configuration.
Assurer une haute disponibilité et fiabilité pour les systèmes de production, y compris les processus de mise à jour et de release, ainsi que la gestion des incidents et du troubleshooting
Gérer et déployer des solutions de surveillance et d’alerte internes et externes
Définir et évangéliser les optimisations liées au cloud et les meilleures pratiques pour améliorer la fiabilité et les performances
Capacités à faire du troubleshooting sur l’infrastructure cloud, les systèmes, le réseau et la stack d’applications
Faire des astreintes au sein de l’ équipe chargée de maintenir la disponibilité et les performances de notre infrastructure de production hébergée dans le cloud (facultatif).
Profil recherché Compétences Requises

Bachelor ou Master en informatique ou équivalent
1 an ou plus d'expérience en ingénierie cloud avec une infrastructure sous forme de code: AWS et / ou Azure, GCP.
Scripting (Python, Shell,…)
Capacité de résolution de problèmes, capacité à lire et à comprendre les logs d'applications (principalement Java) et à investiguer.
Solide connaissance pratique des systèmes Linux (Centos) et expérience dans l'utilisation de Docker (conteneur)
Connaissance d’au moins deux des éléments suivants (utilisation, administration, configuration, réglage):
o Kubernetes, Helm Charts

o Jenkins automation

o Jenkins 2, Jenkinsfiles

o PostgreSQL

o ZooKeeper

o ElasticSearch, Kibana, Logstash

o Prométheus, Grafana

o ActiveMQ

o Kafka

o MongoDB

Capacité à travailler dans une équipe distribuée – excellente communication
Anglais professionnel (oral et écrit)
Connaissances des méthodes de sécurité et de protection des données
Un plus : Solides connaissances en infrastructure sous forme de code: Ansible (idéalement), Terraform, Puppet.
Entreprise Leader dans le domaine des logiciels d’intégration Cloud et Big Data, Talend assiste les entreprises dans leur transformation vers une culture orientée données en collectant, nettoyant et déplaçant rapidement les données là où elles permettront d’appuyer les décisions. Cotée depuis fin 2016 au NASDAQ, Talend est reconnu dans le secteur pour sa croissance rapide et ses solutions open source.
Apec.fr - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,devops,Nantes,14/10/2019,vjk=b7667d7065b2c29c,vide,cdi
DevOps GCP (startup épaulée par Google) H/F,EXTERNATIC,Nantes (44),vide,"Nantes (44)
CDI
DESCRIPTION DE L'OFFRE
Externatic, c'est le premier cabinet de recrutement IT de l'ouest, mais surtout un accès privilégier à des opportunités cachées au sein de pépites (+300 postes ouverts HORS ESN / SSII #evil).
Notre moteur : trouver l'opportunité (en CDI) qui vous correspond
Notre approche : on parle un peu, on vous écoute, on vous écoute, on parle un peu
=> Rencontrons-nous !

L'ENTREPRISE

L'entreprise de 15 personnes édite des solutions logiciel web avec pour ambition de réinventer l'expérience d'achat des consommateurs.
Disposant d'une innovation unique dans le monde, la société a séduit Google qui l'a pris sous son aile. Google soutient l'entreprise technologiquement : ils ont fait la bascule sur Google Cloud Platform / Docker / Kubernetes.
Les activités de Devops sont actuellement réparties sur différents développeurs : l'équipe technique a besoin d'un référent Dans un contexte de croissance, l’équipe s’étoffe avec le recrutement d’un DevOps H/F.
En termes de valeurs, on est sur un management bienveillant, transparent, fun. Les dirigeants sont des personnes exceptionnelles, sincèrement.
LES MISSIONS
La taille de l'équipe implique une diversité des missions importante
Essentiellement, vous êtes attendu sur la partie infrastructure, pour faire monter tout le monde en compétences. Actuellement, la stack c'est : GCP, AWS, Docker, Kubernetes, Terraform.
Les attentes tournent autour de l'automatisation, des performances, de la sécurité. En effet, l'activité de l'entreprise implique le traitement de gros volumes de données.
Les ingénieurs de Google sont au quotidien en lien avec vous
Conditions : centre de Nantes. Salaire suivant profil

Benjamin Casseron, votre interlocuteur chez Externatic
Chaque année, j'accompagne des candidats, comme vous, dans la définition de leur projet professionnel et la recherche d'un nouveau job.
N'hésitez pas à me contacter pour échanger sur ce poste et plus généralement sur votre carrière (contacts direct disponibles dans la rubrique ""qui sommes nous"" sur le site d'Externatic).

PROFIL REQUIS
Vous
Devops accompli, vous avez pu développer des compétences sur le cloud public (idéalement GCP) sur Linux
Vous maitrisez Terraform et êtes familier de Docker
Vous maitrisez au moins un langage de développement (idéalement JS)
Vous aimez les échanges avec les équipes de développement
Vous êtes organisé
Vous aimez résoudre des problèmes
Vous êtes un ""bon fainéant"" et donc un grand fana de l'automatisation
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,devops,Nantes,14/10/2019,vjk=7001cbe9fa4df649,vide,cdi
Administrateur Windows / Devops @DSI,EXTERNATIC,Nantes (44),vide,"Nantes (44)
CDI
DESCRIPTION DE L'OFFRE
Ne passez plus votre temps à chercher des entreprises qui pourraient vous correspondre , ne signez plus le 1er contrat qui vous tombe sous le nez en ayant loupé l'opportunité de votre vie qui est juste à côté …(et dieu sait si il y en a …+ de 300 en cours chez Externatic)

Et si vous tentiez de travailler avec Franck* du cabinet de recrutement Externatic votre « chercheur de job » qui :

vous donnera une vision du marché exhaustive et uniquement hors ESN
ne vous survendra pas les opportunités et ne prechera pas uniquement pour sa boutique en vous proposant tout un panel d’entreprises aussi différentes les unes que les autres …(DSI, startup, éditeurs, centre R&D, …)
Vous conseillera sur votre Cv , votre approche en entretien, … mais aussi sur votre rémunération actuelle et souhaitée
vous « dégotera » le job qui vous correspond le mieux en fonction de vos aspirations et de vos contraintes ""personnelles"" : localisation, télétravail, ...

Cette société nantaise du secteur santé recherche 2 administrateurs systèmes intervenant sur des environnements fortement virtualisés (windows & un peu linux).
2 postes sont ouverts dont 1 avec une connotation plus orientée Expertise / architecture / lead technique.
Sur des environnements techniques variés et exigeants en terme de disponibilités, vous aurez en charge :
Relation avec les équipes études en amont et aval des projets applicatifs,
Etudes techniques de solutions
Administration système courante (virtualisation , Stockage / restauration, ...)
Mise en place des environnements d’intégration & production (Web : serveurs orientés JAVA, PHP et .net/IIS)
Mise en production et exploitation des applications
Rédaction ou amélioration des procédures d’intégration et d’exploitation.
Participation à la mise en place du Devops
Support technique à des juniors ainsi qu'aux équipes études

PROFIL REQUIS
De part votre intérêt pour la technique vous disposez de compétences larges et avec idéalement :
Administration système Windows (et un peu Linux)
Virtualisation : VmWare ou équivalent (Xend, …)
Stockage et sauvagarde
Supervision : Nagios , …
SGBD : SQL server, postgre, MongoDB, MySQL …
Idéalement Devops & cloud : Docker, Vagrant, puppet, Ansible, AWS

Une expérience au sein d'un datacenter ou de contextes exigeants sont des atouts importants.
Avec une 1ère approche du devops (personnelle ou professionnelle), vous êtes sensible au rapprochement des équipes études et production avec des technologies de continus delivery ou intégration (Dockers, Puppet, ansible, …).
Vous possédez également idéalement des compétences sur les aspects réseaux (firewall, sécurité, …), d’un bon relationnel et d’un réel sens du service.

Franck
Auparavant il a travaillé en ESN sur le marché nantais qu’il connait donc comme sa poche (du grand client au tout petit !!!) …Au bout de 10 ans il n’en pouvait plus alors il s’est repenti en créant Externatic afin de répondre à l’envie des entreprises de recruter en interne plutôt que de sous traiter en SSII …il avait aussi le souhait de « sortir » les informaticiens du cycle infernal de l’ESN (de mission en mission, l’effet je suis un pion …etc). selon lui : « il y a tellement d’opportunités actuellement , tellement mieux à faire techniquement et de façon plus qualitative et dans la durée que c’est dommage de prendre le 1er job venu !!!)

#CDI #Nantes #emploi #Windows #Linux #SQL #Virtualisation #supervision #Nagios
il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",09/10/2019,devops,Nantes,14/10/2019,vjk=13aeaeb45a512a51,vide,cdi
