Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat
Ingénieur DevOps H/F,Alten,Toulouse (31),30 000 € - 40 000 € par an,"Toulouse (31)
30 000 € - 40 000 € par an
Partenaire technologique de référence des plus grandes entreprises françaises et internationales, ALTEN est devenu en 30 ans le leader européen de l'Ingénierie et du Conseil en Technologies (près de 34000 collaborateurs dont 88% d’ingénieurs - CA de 2,3 Milliard € 2018 - implantation du Groupe dans 28 pays).
Labélisé ""Top employeur"" 2019, ALTEN est un acteur majeur du recrutement d’ingénieurs en France et dans le monde.
Dans le cadre de ses activités dans le secteur spatial, ALTEN recherche un Ingénieur DevOps.
A ce titre, vos missions seront les suivantes :
Activité en mode projet en méthode agile Scrum sur des sprints de 3 semaines.
Production des multiples environnements de développement, qualification et production
Application des directives de sécurité sur les infrastructures.
Participation aux études de faisabilités et aux déploiement des nouvelles architectures
Transformations d'architectures existantes.
Standardisation des tâches à l'aide d'outil d'automatisation, de rédactions de livrables documentaires et de présentation des services déployés
Activité en équipe avec forte interaction avec les architectes, spécialistes sécurité, réseaux et systèmes ainsi que les équipes métiers.
Support technique sur les infrastructures mises en place.
Afin de mener à bien vos missions, les compétences suivantes sont requises :
Expérience en système GNU/Linux majoritairement sur les environnement RHEL 7 et SUSE 12.
Maitrise d'Ansible pour automatiser l'ensemble des actions.
Connaissances en cloud privé OpenStack, en cloud public GCP et en infrastructure de container kubernetes
Capacité à travailler en équipe
PROFIL
Diplômé(e) d’un Bac+5 en informatique ou d’une école d’ingénieur, vous avez minimum 3 ans d’expérience sur un poste similaire.
Votre bon relationnel est une force pour vous avec une communication efficace (contacts quotidiens avec différentes interfaces : clients, fournisseurs, …), qui vous amène à être leader, réactif, dynamique, autonome et proactif sur les missions qui vous sont confiées.
De plus, votre niveau d’anglais vous permet de converser avec l’ensemble des parties prenantes anglophones qui seront amenées à collaborer avec vous ainsi que comprendre les écrits qui se présenteront à vous.
ALTEN place le développement de carrière de ses Ingénieurs au cœur de son modèle et vous permet de prendre rapidement des responsabilités et d’évoluer en accord avec votre objectif professionnel.
Les personnes reconnues de la qualité de travailleur handicapé sont les bienvenues chez ALTEN.
Type d'emploi : Temps plein
Salaire : 30 000,00€ à 40 000,00€ /an
Expérience:
ingénieur devops h/f ou similaire: 3 ans (Souhaité)
Langue:
Anglais (Souhaité)
il y a 3 heures
Signaler cette offre d'emploi",18/10/2019,devops,Toulouse,18/10/2019,vjk=e52accacba48d8a1,vide,vide
Consultant DevOps (Anglais) H/F,ACTIVUS Group,Toulouse (31),vide,"Toulouse (31)
Temps plein, CDI
Pour renforcer notre pôle Applications Digitales,nous recrutons un Consultant DevOps (H/F).
Vous intervenez chez un de nos clients et serez intégré à l'équipe agile chargée de fournir le support et assistance aux différentes équipes de développements.
Vos principales missions, si vous les acceptez:
Concevoir, rédiger, dimensionner et faire l' approvisionnement des infrastructures
Interaction avec les équipes assurant les évolutions des différentes briques du SI, donnant accès à environnement technique varié (Web, Big Data, Gestion des identités, progiciels CRM )
Analyser et résoudre les anomalies liées à la performance et à la stalabilité des systèmes
Promouvoir les pratiques DevOps au sein des équipes
Veillez à la livraison des versions de Saltstack SCM, Artefactory, Nexus, ainsi que la rationalisation
Réaliser le suivi de Splunk : de la conception jusqu'à la mise en en oeuvre.
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs santé, transport, grande distribution, Télécoms, banque et assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Ingénieur grandes écoles, vous justifiez d'au moins 3 années d'expérience en tant que consultant DevOps. Vous maîtrisez : la production / Operation : Installation /Configuration heterogeneous environnement / Linux/VMware (ESX)/ Sonar/Git /Java/Python /Bdd.
Vous avez une très bonne maîtrise de l'anglais, écrite comme orale.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes.
Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI
il y a 2 heures
Signaler cette offre d'emploi",18/10/2019,devops,Toulouse,18/10/2019,vjk=35c9098122142008,vide,cdi
DevOps/ Architecte (H/F),ACTIVUS Group,Toulouse (31),vide,"Toulouse (31)
Temps plein, CDI
Pour renforcer notre pôle Applications Digitales,nous recrutons un Consultant DevOps /Architecte pour un de nos client en pré-embauche (H/F).
Vous intervenez chez un de nos clients et serez intégré à l'équipe agile chargée de fournir le support et assistance aux différentes équipes de développements.
Vos principales missions, si vous les acceptez:
Concevoir, déployer et exploiter les infrastructures
Interaction avec les équipes assurant les évolutions des différentes briques du SI, donnant accès à environnement technique varié (Web, Big Data, Gestion des identités, progiciels CRM ).
Analyser et résoudre les anomalies liées à la performance et à la scalabilité des systèmes
Promouvoir les pratiques DevOps au sein des équipes
Notre Agilité associée à la diversité de nos clients grands-comptes dans les secteurs santé, transport, grande distribution, Télécoms, banque et assurance, offrent aujourd’hui à nos équipes de nombreuses perspectives d’évolution.
PROFIL
Ingénieur grandes écoles, vous justifiez au minimum de 5 années d'expérience en tant que consultant DevOps ou architecte DevOps. Vous maitrisez : l'outillage agile (JIRA,Confluance), DevOps (Jenkins, Maven, GitLab, Nexus, etc …), Ansible, environnement technique de l'outil SalesForce... La connaissance de SAFe est un plus.
Vous avez une bonne connaissance des environnements techniques suivants: ElasticSearch, Logstash, Kibana, SGBD Oracle, Apache , Linux Redhat, Jboss, Weblogic.
Passionné par l’informatique et les nouvelles technologies, vous souhaitez retrouver une ambiance dynamique et exigeante qui saura accompagner votre évolution. Vous êtes curieux, motivé et avez le sens du travail en équipe.
Notre dynamisme et les projets innovants sur lesquels nous évoluons offrent à ceux qui nous rejoignent des opportunités motivantes.
Nous saurons vous accompagner dans votre évolution.
Alors ! Serez-vous des nôtres ?
ACTIVUS
ACTIVUS-Group est une société de conseil de croissance qui, en 4 ans, est devenue experte dans ses domaines d’intervention :
IA, Big Data, Analytics, DataScience
Conseil et Audit
User Experience et Mobile Apps, DataVizualisation
Sécurité des Systèmes
Infrastructures Cloud et SaaS
Process Industriels
Nous entretenons avec nos partenaires une relation de confiance solide et durable qui s’appuie sur la proximité de nos équipes et l’expertise de nos consultants.
Notre, équipe composée de technophiles passionnés, renforce tous les jours notre ADN par son excellence technologique.
En 2019 notre groupe double ses effectifs en recrutant 100 nouveaux consultants sur tous nos domaines d’expertise.
En complément de nos implantations de proximité à Toulouse et Paris, nous poursuivons notre maillage local en ouvrant quatre agences à : Bordeaux, Lyon, Nantes, Aix/Marseille.
Nous recrutons aussi sur Hambourg, en République Tchèque et en Suisse.
Type d'emploi : Temps plein, CDI
il y a 2 heures
Signaler cette offre d'emploi",18/10/2019,devops,Toulouse,18/10/2019,vjk=e8aba09223b3ec0e,vide,cdi
Super Ingénieur Linux/Devops/Virtualisation - H/F,Labsoft,Toulouse (31),vide,"Toulouse (31)
CDI
Dans le cadre du développement de notre activité, nous recherchons, un(e) Super Ingénieur Linux/Devops/Virtualisation H/F :
Rejoignez la galaxie Labsoft et devenez le prochain héros Labsoftein(nes).
VOTRE FUTUR JOB :
Au sein d’une équipe agile basée sur des sprints de 3 semaines vous serez en charge : :
o Production des multiples environnements de développement, qualification et production demandés par nos métiers.
o Application des directives sécurités sur les infrastructures.
o Participation aux études de faisabilités et aux déploiement des nouvelles architectures ou des transformations d'architectures existantes (approvisionnement matériel, définition de l'architecture, installation, configuration et mise en service des nouvelles infrastructures).
o Standardisation des tâches à l'aide d'outil d'automatisation, de rédactions de livrables documentaires et de présentation des services déployés.
o Activité en équipe avec forte interaction avec les architectes, spécialistes sécurité, réseaux et systèmes ainsi que les équipes métiers.
o Support technique sur les infrastructures mises en place.
VOS SUPERS POUVOIRS :
Environnement technique :
o Spécialiste Database PostgreSQL et ayant des connaissances sur SQLServer, MongoDB, Oracle et RHEL 7 et SUSE 12.
o Maitrise d'Ansible pour automatiser l'ensemble des actions
o Capacité d'analyse, de paramétrage, de debug
o Virtualisation: Vsphere (5.x / 6.x) - ESXi, VirtualCenter, vRops, PowerCLI...
o Matériel : Serveurs HPe Proliant, châssis blades C7000 / Synergy, modules VirtualConnect, HPe OneView et SPP
o Excellentes connaissances en cloud privé OpenStack, éventullement en cloud public GCP et en infrastructure de container kubernetes.
o Excellentes connaissances sur Kubernetes et orchestration de conteneurs tels que Openshift et Rancher
Vous avez l’étoffe d’un Héros ?
Vous êtes issu(e) d’une formation supérieure (Bac+ 2 à Bac+5) ?
Ce poste vous intéresse ?
Enfilez votre costume et rejoignez notre équipe de X-Men du digital.

PRESENTATION DE L'ENTREPRISE :
LABSOFT assure depuis 18 années un accompagnement personnalisé dans les projets de transformations numériques de ses clients.
Présente en régions Toulousaine et Parisienne, nous comptons sur nos 150 collaborateurs pour apporter un savoir-faire transverse à nos partenaires.
Notre volonté ? Garder notre état d’esprit collaboratif à taille humaine.
Notre ADN ? L’alliance du numérique avec l’approche d’une PME.
Nous vous proposons un modèle basé sur la proximité, l’écoute, l’épanouissement, le développement de vos compétences et de votre carrière !
Pour cela, nous avons lancé la dynamique « LabSoft Building, ensemble construire demain »
Quésaco ? Un After work mensuel fun et collectif allouant le partage d’un bon moment et la prise de parole pour façonner la société à votre image, développer votre esprit d’équipe et s’assurer que chacun œuvre dans la même direction.
Vous avez soif d’aventures, de nouveaux challenges et d’innovations technologiques ? Vous recherchez aussi une nouvelle famille ? Labsoft est fait pour vous !
A vous de jouer ! Rejoignez-vite l’aventure humaine en nous transmettant votre candidature : rh@labsoft.fr.
il y a 23 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,devops,Toulouse,18/10/2019,vjk=acbcb4806e246d30,vide,cdi
Ingénieur Devops (F/H),Infotel,Toulouse (31),vide,"Toulouse (31)
Votre suivi
Dans une ambiance alliant travail et convivialité, votre manager, votre chef de projet et votre chargé de recrutement vous suivront tout au long de votre carrière chez Infotel et encadreront votre progression au sein du Groupe.
Votre évolution
Votre potentiel, votre dynamisme, votre sérieux et votre implication vous permettront d’évoluer régulièrement au sein d’Infotel, de manière transversale soit sur du pilotage de projet, de l’expertise technique ou de la maitrise d’ouvrage pour nos collaborateurs souhaitant s’éloigner du monde de la technique.
Missions
En tant que DevOps, dans un premier temps, vous créez des applications, outils, logiciels qui répondent précisément aux besoins des clients à partir d’un cahier des charges.
Dans un second temps, vous garantissez le bon fonctionnement de ces solutions une fois lancées, et tout au long de leur cycle de vie.
Ce faisant, vous serez chargé(e) de :
Développer une application (Java, C#, web ou mobile) répondant aux attentes et aux besoins des utilisateurs ;
Concevoir et mener les tests nécessaires pour garantir une mise en service réussie de l’application.
Accompagner l’intégration et le déploiement de la solution ;
Veiller à la bonne prise en main de la solution par les utilisateurs ;
Assurer le bon fonctionnement et l’entretien de l’application, intervenir lorsque des anomalies surgissent, assurer les mises à jour et les évolutions techniques.
Un bon niveau d’anglais est nécessaire.
Compétences
De développement informatique et d’administration concernent aussi bien la programmation, les différents langages informatiques, la gestion des systèmes informatiques et l’aspect matériel.
Profil
De formation supérieure en informatique (bac+2 à bac+5), vous possédez une expérience de 2 ans minimum dans un poste similaire.
Votre capacité d’analyse, votre sens de l’écoute, votre capacité d’autonomie et votre goût du travail en équipe vous permettront de mener à bien vos missions.
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",17/10/2019,devops,Toulouse,18/10/2019,vjk=65760e3483dfa118,vide,vide
Ingénieur DEVOPS F/H,CTS Corporate,Toulouse (31),vide,"Toulouse (31)
CDI
Identifier les opportunités d'automatisation de l'activité dans un souci de gain d'efficacité et de minimisation des risques liées au développement.
Maintenance des outils d'Automation mise en place
Maintient et suivi de la documentation
Développement, améliorations et maintenance des outils orienté Automation Monitoring pour optimiser l'efficacité de l'activité (Automatisation des configurations, déploiement, tâches r-edondantes, de rapport, alerting).
Transfert de connaissance et accompagnent sur la montée en compétence Devops des équipes
Référent sur la partie Tooling lié à l'activité (Spectrum, Centreon, Akips, Splunk)
Profil recherché Diplômé(e) d'un bac+2, universitaire ou école d'ingénieurs, vous justifiez d'une première expérience dans ce domaine ou sur un poste similaire.

Vous avez le sens du service client. Vous êtes capable de vous adapter rapidement à différents interlocuteurs et environnements techniques. Vous avez un excellent esprit d'analyse. Curieux et autonome, votre relationnel vous permet travailler en équipe de manière constructive avec des interlocuteurs divers (internes et externes)
Entreprise Issue sur un regroupement des Bureaux d'Etudes de PME industrielles, CTS intervient sur l'ensemble du cycle de vie des projets de ses partenaires et clients.

CTS s'appuie sur des équipes mobiles et structurées dotées de solides compétences en ingénierie mécanique électrique et électronique, process industriel, gestion de projet et systèmes d'informations. Forgé par son expérience au sein de grands programmes industriels, et à l'épreuve de la réactivité nécessaire des PME en ingénierie et production, le groupe est capable de répondre aux besoins de ses clients en solutions globales.

CTS a pour vocation de rassembler l'ensemble des compétences indispensables à la réalisation de programmes de grande envergure aussi bien sur le territoire français qu'à l'international.

Nous intervenons au travers de nos équipes auprès des grands donneurs d'ordres dans les domaines de l'Energie, l'Aéronautique, l'automobile, Informatique et Telecom sur des programmes variés.
Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",17/10/2019,devops,Toulouse,18/10/2019,vjk=96847af61551c403,vide,cdi
Ingénieur DevOps Kubernetes F/H,Continental France,Toulouse (31),vide,"Toulouse (31)
CDI
Continental, un groupe industriel implanté en France depuis 125 ans. Fondé à Hanovre en 1871, le groupe Continental emploie actuellement 244 000 personnes dans 60 pays à travers le monde, avec la vocation de rendre la mobilité individuelle plus durable, mais aussi plus intelligente et connectée.

Aujourd'hui, 100 % des véhicules fabriqués en Europe sont équipés d'au moins un produit Continental.

En France, le groupe compte désormais 18 sites, dont 7 usines. Il emploie près de 8 000 personnes et totalise 230 points de vente.

Dans le cadre de nos services « eHorizon » nous développons un CI/CD (Continuous Integration / Continuous Deployment), ainsi qu'une plateforme d'infrastructures cible dans le Cloud, construites autour de Kubernetes.

Notre équipe DevOps/Automation Engineers ainsi que notre équipe Cybersecurity travaillent conjointement à l'établissement de ces plateformes.

Expert K8S et désireux de rejoindre une équipe attachée à suivre le ""stateoftheart"" des pratiques actuelles, vous êtes intéressés par l'ecosystème DevOps / Cloud et les technologies environnantes (jenkins, terraform, kubernetes, docker, prometheus, grafana, artifactory, harbor, openshift, ansible, …etc).
Profil recherché Expertise K8S avérée

Bonne connaissance générale des pratiques agiles et DevOps

Connaissance générale de l'activité d'opération

Anglais parlé lu et écrit

Doté d'un bon relationnel, vous supportez nos équipes projets afin d'aider à diffuser et mettre en oeuvre les bonnes pratiques DevOps au sein de nos squads (deployment vers K8S, pipelines jenkins, terraform, ….etc).

Responsable, vous portez vos projets jusqu'au bout du chemin et participez à leur opération (des astreintes seront à prévoir).

Finalement vous montez en compétence sur l'intégralité du scope, et approchez les pratiques SRE (Site Reliable Engineer) initiées par Google.
Entreprise Rejoindre Continental c'est prendre la route pour vivre une expérience unique, stimulante et contribuer à la mobilité du futur au sein d'un grand équipementier international !

Continental Digital Services France (CDSF) est une entité créée pour réaliser la fusion entre l'intelligence à bord et celle - collective et collaborative - des véhicules connectés à notre plateforme de services.
Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",17/10/2019,devops,Toulouse,18/10/2019,vjk=1bc661100e7865ca,vide,cdi
Stage - Automatisation / DevOps et Cloud H/F,GFI,Toulouse (31),vide,"Toulouse (31)
Stage
Dans le cadre de projets novateurs, vous intégrerez notre pôle « Performance & Transformation » sur Toulouse sur le périmètre Infrastructure pour construire en relation de nos experts techniques, des solutions d’automatisation et d’industrialisation des actes d’administration en s’appuyant notamment sur la mise en œuvre de maquettes dans des environnement cloud qui s’appuie sur des démarches DevOps, avec pour objectifs que ces maquettes soient réutilisables dans les contextes de production client.
Vous participez à la conception et mise en œuvre des solutions de chaîne d'intégration continu des projets internes et externes en y intégrant les contraintes d’administration et d’exploitation de ces solutions dans un contexte de production. Vous participerez à la mise en place et la configuration des différents outils nécessaires. Ces solutions qui seront à construire seront accompagnées de la mise en place de scénario concret pour permettre de se projeter dans une mise en application au plus proche de la réalité « Production » pour nos clients.
Les solutions techniques ne sont pas figées et vous serez amené à faire vos propositions en collaboration des experts techniques. Voici les périmètres déjà envisagés :
Environnement Cloud Public : AWS, Google, Azure
Environnement Cloud Privé : VMWare, Nutanix
Outils autour du Devops et de l’automatisation : Jenkins, Gitlab, Docker, Ansible, Kubernetes, Terraform, Rancher, Openstack, Openshift, Grafana, Prometheus, …

Ces solutions mises en œuvre seront destinées :
A nos clients pour qu’ils se projettent sur les solutions à implémenter dans leurs environnements pour répondre aux besoins de leur métier
Aux collaborateurs de l’entité pour les accompagner dans leur monté en compétences
Aux forces commerciales pour leur permettre de mieux comprendre les besoins et solution à apporter nos clients

Vous serez suivi directement par le responsable du pôle « Performance & Transformation » Infrastructure Service Sud-Ouest.

Profil
En formation Bac+ 5, vous êtes passionné de nouvelles technologies, vous avez des connaissances sur le socle technique sur les infrastructures IT (Système, Réseau, Sécurité, Virtualisation, Stockage, Sauvegarde, Middleware, …) avec une forte appétence sur les technologies Cloud et DevOps, et les principes de scripting, automatisation et industrialisation de nos activités IT.
En plus des compétences techniques, vous allez développer les compétences suivantes : travail en équipe, sens du service, analyse, synthèse, écoute. Vous disposez d’une vision large des technologies et de leur utilisation, vous souhaitez vous investir et comprendre les problématiques métier des clients. Vous faites preuve de capacités de synthèse et de conception, d’un esprit d’équipe. Ces atouts vous assureront pleine réussite au sein de notre Groupe.
Gfi Informatique offre à ses collaborateurs un choix de projets innovants, variés et passionnants, en France comme à l'International.
Vous êtes dynamique, avez le sens du service, et appréciez le travail en équipe, Rejoignez-nous !

Entité de rattachement
Gfi Informatique est dans le top 10 des Entreprises du Numérique. Grâce à nos 19 500 collaborateurs dont 10 000 en France, nous accompagnons les entreprises dans leur transformation digitale. Venez partagez vos compétences, vos savoir-faire au sein de nos équipes et exprimez votre audace au sein d'un Groupe qui bouge ! Participez à notre développement et devenez un acteur innovant de notre Groupe au sein de la division Sud-Ouest, composée des agences de Toulouse, Bordeaux, Pau et Orthez. 800 collaborateurs interviennent sur des projets d'envergure, dans des contextes internationaux ou de proximité, au forfait ou en assistance technique, pour des clients Grands Comptes. En intégrant Gfi Informatique Sud-Ouest, vous pourrez exprimer votre personnalité dans notre entité à taille humaine, auprès de services de proximité attentifs à votre évolution et au développement de vos compétences sur une de nos branches: le développement d'applications (Applications Services dont les activités PLM), les métiers de l'infrastructure et de la Production (Infrastructure Services), mais encore le Consulting ou l'édition de logiciels et de progiciels. Tous nos postes sont ouverts aux candidats en situation de handicap.
Postuler
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",17/10/2019,devops,Toulouse,18/10/2019,vjk=199ac4f1bf6ca407,vide,stage
Architecte DevOps H/F,AKKA TECHNOLOGIES,Blagnac (31),vide,"Blagnac (31)
Temps plein, CDI
Poste à pourvoir en interne au sein de notre Groupe : rattaché au service SPOTT (Support to Operationnal Performance, Training & Tools) de la Direction de la Performance Opérationnelle (DPO) de l’entreprise, vous rejoignez les équipes en charge du développement et du maintien en condition opérationnelle de nos outils de management de projets en environnement temps réel.

A ce titre, vos principales responsabilités seront les suivantes :
Veiller à la continuité de service des outils (monitoring, alertes…)
Optimiser l'architecture existante et la faire évoluer (Load Balancing, Dockerisation…)
Améliorer la démarche DevOps en place (optimisation des déploiements…)
Effectuer de la veille technologique afin d'identifier les bons choix d'évolution
Maintenir la documentation sur l'architecture et ses évolutions

De formation Ingénieur ou équivalent, vous bénéficiez d’une première expérience réussie de 3 ans minimum au travers de laquelle vous avez développé vos connaissances des technologies et outils suivants : Ubuntu server, Windows server, VmWare Vsphere, Docker, Kibana / Elastic, Jenkins, GitLab, Talend, langages de script (shell / bash).

Vous possédez de réelles qualités relationnelles : communication interpersonnelle et capacité d’initiative. Votre curiosité technique vous permet d'appréhender de nouvelles technologies et vous avez à cœur de partager vos connaissances avec vos pairs.

AKKA Group accompagne ses clients dans la mondialisation de leurs projets, aussi un anglais correct écrit et parlé est souhaité pour l’ensemble de nos collaborateurs.

A compétences égales, le poste est ouvert aux personnes en situation de handicap.

Rejoindre AKKA Group, c'est évoluer dans les domaines qui vous passionnent, développer vos compétences, avec la possibilité d'évoluer sur différents secteurs, dans un cadre qui favorise les initiatives individuelles ; votre rôle s’inscrit dans un véritable projet d'entreprise !
il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",17/10/2019,devops,Toulouse,18/10/2019,vjk=ce88525acec76b7b,vide,cdi
CONSULTANT DEVOPS H/F TOULOUSE,Umanis,Haute-Garonne,vide,"Haute-Garonne
LE LEADER FRANCAIS DE LA DATA RECRUTE.Rejoindre Umanis, c'est participer à une formidable aventure, celle d'une entreprise française en croissance continue, reconnue pour sa capacité d'innovation et son dynamisme.Umanis, c'est plus de 2700 passionnés de nouvelles technologies qui partagent les mêmes valeurs qu sont l'excellence, la responsabilité, le respect et la convivialité.Umanis, c'est une communauté avec une moyenne d'âge de 35 ans qui intervient en ingénierie de pointe sur les projets stratégiques des plus grands donneurs d'ordre ou pour le compte d'entreprises pour qui la data est vecteur de transformation.Umanis, c'est un management et une organisation au plus proche de ses collaborateurs pour vous accompagner dans votre parcours professionnel. Formation, certifications, MOOC, CPEC ; nous avons à coeur de vous faire évoluer en continu.L'expert(e) technique big data assure un rôle de conseil, d'assistance et d'information et de formation. Spécialisé sur le big data, il peut intervenir directement sur tout ou partie d'un projetVOS MISSIONS: Pour accompagner sa croissance et intervenir sur de beaux projets à fortes valeurs ajoutées, Umanis Toulouse est à la recherche d'un(e) : Consultant DEVOPS H/F ToulouseVos principales missions seront : Analyser l’existant de notre client du point de vue Cycle de vie logiciel, maturité du niveau d’automatisation, et fluidité des process de livraison pour trouver les leviers d’amélioration organisationnels, techniques et d’outillage.Être le garant de la maîtrisesystème & infrastructure et être en charge de l’implémentation des approches de déploiement automatisé et de livraison continue.Mise en œuvre des approches et des outils d’automatisation pour une population de développeurs.Vous possédez minimum 2 ans d’expérience sur un poste similaire.Un bon niveau d'anglais est obligatoire (écriture, lecture, conversationnel).Vous maîtrisez les compétences techniques ci-dessous : Systèmes : LinuxBase de données : MySQL, MongoDB, PostgreSQLPlateforme Cloud (Amazon Web Services, Scaleway …)Docker, Kubernetes, Openshift, PivotalAnisblePourquoi Umanis?Un suivi régulier et personnalisé par votre manager et votre référent RH.Une écoute constante pour accompagner votre montée en compétences et vous proposer les projets les plus en phase avec vos attentes.Des moments de partage: soirées d’agence et afterworks, rencontres sportives…La possibilité, en fonction de vos aspirations, de devenir l’un des référents techniques de notre équipe. Ceux qui, grâce à leur expertise, nous accompagnent dans le recrutement des futurs collaborateurs.Notre objectif: continuer de grandir, sans jamais oublier le lien tissé avec chacun, car VOUS êtes notre valeur ajoutée!COMPETENCES REQUISES: Analyses qualitatives et quantitatives (Intermédiaire), Anglais (Intermédiaire), Architecture fonctionnelle SI (Intermédiaire), Formation et transmission de connaissances (Intermédiaire), Gestion de la qualité, de l'hygiène, de la santé, de la sécurité et de l'environnement (Intermédiaire), Gestion des contrôles, tests et diagnostics (Intermédiaire), Résolution de problèmes complexes (Intermédiaire), Veille, analyse et gestion documentaire (Intermédiaire)En 2019, Umanis recrute 1000 nouveaux talents sur l'ensemble du territoire français.

Et si c'était vous ?
Handi-it.fr - il y a 8 heures
- Continuer pour postuler
Signaler cette offre d'emploi",Aujourd'hui,devops,Toulouse,18/10/2019,vjk=6969d4afca866acf&advn=7203674760985397,vide,vide
