Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant
Data Architecte F/H,YSANCE,Paris 2e (75),vide,"Paris 2e (75)
CDI
Afin d’agrandir notre squad d’architectes, nous recherchons un/une Architecte Data tout terrain, ayant de véritables capacités d’adaptation autour d’environnements technologiques en constante évolution.

L’Architecte Data travaillera directement avec nos clients, mais sera également en lien avec nos équipes Delivery, Sales et RH afin de participer activement au développement du business et des équipes.

En tant qu’Architecte Data chez Ysance, vous serez amené à :
Apporter votre vision technologique

Aider nos clients à choisir les solutions technologiques pertinentes et adaptées à leur contexte

Etre l’un des référent technique, aussi bien en interne qu’en externe

Intervenir chez nos clients sur des missions de conception, d’implémentation ou d’optimisation d’architecture data

Participer aux recrutement de nouveaux collaborateurs

Participations aux phases d’avant-vente et ateliers d’architecture

Participer activement à la veille technologique

Animer des sessions de formations techniques en interne mais aussi en externe

Profil recherché Notre Architecte Data idéal :
a au moins 7 ans d’expérience sur des missions ou projets Data, incluant les phases d’avant-vente et de conseil,

est à l’aise en présentation orale auprès de public technique et de direction,

possède des connaissances solides autour des bases de données relationnelles et NoSQL, de leur architecture à leur optimisation,

est fluent en SQL,

possède une forte compréhension de l’ensemble de stack Data, des pipelines ETL aux outils Analytics,

a déjà travaillé sur des systèmes MPP,

est Cloud lover.

En bonus :
connaissances approfondies sur au moins un des Cloud provider suivant : AWS, GCP, Azure,

compétences autour de langages comme Python, Scala, Java,

compétences autour du framework Spark,

connaissances autour des enjeux de sécurité au niveau infrastructure et applicatif,

certifications éditeurs sur un cloud provider, outils ETL ou base de données,

expérience en tant que Lead Dev sur des projets Data,
Entreprise Ysance Mazeberry exerce deux métiers complémentaires :

l’intégration de plateformes data-centric,

l’édition de solutions Saas pour le Marketing.

YSANCE Data Services accompagne ses clients dans leur transformation Data-Driven couvrant l’ensemble de la chaîne de valeur de la Data : Big Data, Data Integration, Data Architecture, Data Insight et DataViz !
Apec.fr - il y a 1 jour
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 1 jour,,,06/10/2019,vjk=8c882c24c97cce76
DATA ARCHITECT F/H,Verduron,Paris (75),vide,"Paris (75)
Temps plein, CDI
Nous recrutons un Data Architect H/F pour un de nos clients.
Vous serez employé en tant que Data Architect, en CDI, au sein d’une grande société internationale sud américaine qui vient d’ouvrir un bureau à Paris.
Missions du Data Architect H/F :
Vous saurez identifier les opportunités d'amélioration dans le cycle de production;
Il sera demandé d’analyser la possibilité d'associer des sources de données publiques;
Vous serez capable de donner une visibilité de l'utilisation des ressources de manière segmentée par région;
Vous devrez participer au développement de nouvelles opportunités commerciales;
Vous aiderez à mesurer l’audience du contenu Web;
Vous effectuerez une analyse approfondie des besoins de l’entreprise et du contexte technique à utiliser;
Vous évaluerez la possibilité de définir une base de données relationnelle ainsi que des schémas NoSQL;
Vous travaillerez avec les scientifiques de données pour mieux comprendre le modèle des données;
Vous serez force de proposition concernant les améliorations du raffinement et la réalisation des données;
Vous gèrerez la solution Big Data;
Vous serez en charge de la configuration et mise au point du cluster.
Profil du Data Architect H/F :
Vous avez minimum 3 ans d’expérience en tant que BDA;
Vous avez de l’expérience sur AWS ou Google Cloud et dans le domaine des Big Data;
Est apprécié de l’expérience dans les bases de données NoSQL et Hadoop;
Vous avez un bon niveau d’anglais.
Type d'emploi : Temps plein, CDI
Expérience:
data architect f/h ou similaire: 1 an (Souhaité)
il y a 2 jours
Signaler cette offre d'emploi",il y a 2 jours,,,06/10/2019,vjk=814df6401672dfe2
Data Architect – MS BI (H/F),Natixis,Paris (75),vide,"Paris (75)
CDI
Présentation de l'entreprise
Bienvenue chez Natixis, l'entreprise qui vous offre bien plus qu'un job !
https://www.youtube.com/watch?v=DdaoWX466VY&list=PLCffxNP5tKRS4JIutLJW04CvFxAAJrT95&index=11
Chez Natixis, nous concevons des solutions en gestion d'actifs et de fortune, financement, investissement, assurance et paiements.
Notre ambition : nous dépasser collectivement pour mieux accompagner nos clients et leur proposer les meilleures solutions pour leur développement.
Chez Natixis, nos talents sont notre principal atout.
Rejoignez-nous et vous aurez les clés pour faire bouger les choses et avoir un réel IMPACT.
Rejoignez-nous et vous découvrirez un monde d'OPPORTUNITÉS.
Rejoignez-nous et vous donnerez du sens à votre poste par votre ENGAGEMENT en faveur de la société comme de l'environnement.
Signataire de la Charte de la diversité, Natixis veille à promouvoir tous les talents et à accompagner le développement de chacun de ses 16 000 collaborateurs présents dans 38 pays. Pour la 3e année consécutive, elle est certifiée Top Employer France 2019.
La DSI de Natixis est au cœur des enjeux stratégiques de Natixis pour développer de nouveaux services & usages clients et adapter son modèle aux nouvelles réglementations bancaires. DSI internationale, implantée dans 12 pays (en Europe, en Amérique, en Asie et au Moyen-Orient), elle est dotée d'une forte culture clients et innovante grâce aux nouvelles méthodologies & technologies IT (Digital, Big Data, Blockchain, IT bi-modal, Agilité, Expérience utilisateur, Collaboratif, Sécurité de l'Information, Robotique). La DSI Natixis s'adapte régulièrement pour apporter le maximum de valeur aux Métiers de Natixis. Ses collaborateurs et les challenges qu'ils relèvent en sont sa meilleure vitrine.
Au sein de la DSI BGC, l'équipe Data Architect & Engineer du pôle Client Data Engineering est en charge du dataware Indixis contenant l'ensemble des données commerciales de la BGC, de l'intégration des données dans le dataware et dans le datalake Hadoop, ainsi que du développement de solutions ad hoc nécessaires à la bonne gestion de ces données.
L'équipe travaille en étroite collaboration avec les deux autres équipes du pôle Client Data Engineering : DataViz & DataScience et CRM .
Le pôle travaille pour l'ensemble des métiers de la BGC.
L'équipe promeut l'innovation dans le domaine de data, et a pour mission de continuer à développer l'utilisation de nouveaux outils et de nouvelles technologies, en interaction forte avec le métier.
Mission
Au sein de l'équipe Data Architect & Engineer , vous serez en charge de mener des projets à réaliser seul ou en petite équipe, en étroite collaboration avec les autres équipes du pôle (Paris ou Porto), des équipes de productions applicatives, infrastructures, sécurité et du métier.
En tant qu'architecte BI et expert MSBI, vous accompagnerez les projets MSBI dans la définition des nouvelles architectures mais également dans l'optimisation ou l'évolutions de celles existantes.
Vos missions :
Sur les projets:
Prendre en charge la maintenance et les évolutions demandées par le métier sur les SSAS, du recueil de besoin à la mise en production
Assurer le support utilisateur
Rédiger des documentations fonctionnelles et techniques
Lorsque cela est nécessaire, former et accompagner les nouveaux arrivants au sein de l'équipe
Participer au dispositif d'astreintes de nuit et de week-end
Sur l'expertise MSBI
Définir et mettre en place les architectures MSBI afin de répondre au mieux aux besoins des métiers
Définir les bonnes pratiques autour de l'usage des technologies MSBI et accompagner les développeurs dans leurs applications
Identifier la dette technique sur les projets utilisant MSBI et mettre en œuvre les actions permettant de la réduire, en autonomie ou en collaboration avec d'autres personnes de l'équipe
Réaliser de la veille technologique sur les outils
Dans un contexte Agile, vous contribuerez également à la mise en place des processus devops, à la sécurisation de la plateforme ainsi qu'à l'amélioration continue des processus.
Profil recherché
De formation supérieure, vous êtes expert sur les architectures BI en particulier sur les technologies Microsoft (MSBI : SSIS, SSAS, SSRS). Vous êtes déjà intervenu sur des projets à forte volumétrie, et êtes sensibilisé aux problématiques de performances. Une expérience significative en environnement Front Office serait appréciée.
Vous possédez un réel sens du service et vous savez travailler en équipe.
Vous êtes proactif et aimez travailler dans un environnement exigeant et challengeant.
Vous avez une forte capacité d'adaptation aux nouvelles technologies.
La pratique courante de l'anglais est nécessaire sur ce poste.
Situation géographique : 68/76 quai de la Rapée, 75012 Paris.

Informations complémentaires sur le poste :

Convention collective applicable: Convention Collective de la Banque.

Responsable de recrutement: Alice Barbin.
handibanque.fr - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 4 jours,,,06/10/2019,vjk=f7e932c30b15baa8
Data Architect (H/F),Natixis,Paris (75),vide,"Paris (75)
CDI
Présentation de l'entreprise
Bienvenue chez Natixis, l'entreprise qui vous offre bien plus qu'un job !
https://www.youtube.com/watch?v=DdaoWX466VY&list=PLCffxNP5tKRS4JIutLJW04CvFxAAJrT95&index=11
Chez Natixis, nous concevons des solutions en gestion d'actifs et de fortune, financement, investissement, assurance et paiements.
Notre ambition : nous dépasser collectivement pour mieux accompagner nos clients et leur proposer les meilleures solutions pour leur développement.
Chez Natixis, nos talents sont notre principal atout.
Rejoignez-nous et vous aurez les clés pour faire bouger les choses et avoir un réel IMPACT.
Rejoignez-nous et vous découvrirez un monde d'OPPORTUNITÉS.
Rejoignez-nous et vous donnerez du sens à votre poste par votre ENGAGEMENT en faveur de la société comme de l'environnement.
Signataire de la Charte de la diversité, Natixis veille à promouvoir tous les talents et à accompagner le développement de chacun de ses 16 000 collaborateurs présents dans 38 pays. Pour la 3e année consécutive, elle est certifiée Top Employer France 2019.
Le Digital Center 89C3 Réaumur a pour vocation d'accompagner la transformation digitale des métiers de Natixis en lien avec la stratégie du groupe BPCE.
89C3R est le centre d'expertise transverse IT de Natixis orienté développements web et mobiles, innovation, architectures applicatives et data. Ce service couvre principalement les technologies web & mobile & CMS, Architecture & API, Data & Analytics, IA, agile et agile à l'échelle…
89C3R en tant que service transverse de la DSI Natixis et qui adresse tous les métiers de Natixis souhaite se doter d'un spécialiste de la donnée sur le plan organisationnel de façon à accompagner la transformation stratégique en cours dans les métiers, et permettre l'utilisation des mégadonnées comme leviers de croissance et de création de valeur ajoutée.
Le poste est à pourvoir est à pourvoir dans l'équipe Big Data et Analytics de 89C3R.
Mission
Principales missions en liens avec les DSI métiers, le DSI, le Chief Digital Officer, le chief Data Officer, les équipes architectures (Natixis et Groupe BPCE), la Cloud Factory, les équipes Data et datascience, les éditeurs et les cloud providers :
Mettre à jour et suivre la mise en œuvre de la road map stratégique data de la DSI Natixis. La road map se construit en cohérence avec la stratégie Data du Groupe BPCE et dans le souci de concevoir une architecture de donnée évolutive et cohérente avec les besoins métiers. Cette partie nécessitera une grande connaissance de l'évolution de l'écosystème Hadoop et des offres data des principaux cloud providers ainsi qu'une bonne compréhension des enjeux métiers.
Accompagner les Directions Métiers et des principaux projets de Natixis quant à la stratégie SI et Data.
Mettre en place de l'offre de service de data architecture de 89C3R (contenu de l'offre, expertises à développer au 89C3R et dans les DSI métiers, animation de la filière, besoins de formation ou de staffing…)
Assurer une vision prospective et faire de la veille technologique, notamment autour de la stratégie data à adopter en lien avec les cloud providers.
En marge, travailler avec le Chief Data Officer sur l'urbanisation des données et connaitre les règlementations en vigueur en termes de donnée (notamment GDPR).
Profil recherché
De formation supérieure Bac+5, vous justifiez d'une expérience de 8 à 15 ans, formation informatique, et 5 ans a minima sur une expérience de data architecture en accompagnement de projet SI transformants autour de la data.
Vous avez des connaissances sur :
les socles et des architectures technologiques actuels de traitement des données (exemple : Spark, Hadoop)
les solutions de stockage de données (NoSQL, Documents, Graph, Relationnelles)
expérience dans le Cloud
les concepts et solutions de DataManagement, Business Intelligence, Big Data et DataScience
les architectures et des technologies de transmission de données en continu pour le traitement en temps réel / à faible latence
les principes et règles de gouvernance des données
des outils de modélisation de données
les réglementations en vigueur autour des données (GDPR, BCBS)
les normes dans l'archivage et chiffrement des données
les méthodes agiles et itératives
Vous comprenez les enjeux métiers et business.
Vous possédez des capacités de communication, vulgarisation, synthèse et d'adaptation.
Doté d'un très bon relationnel, vous savez animer.
Curieux, agile d'esprit, Vous avez l'esprit d'équipe ainsi que le sens du service.
Votre niveau d'anglais est courant.
Site géographique: 115 Rue Réaumur 75002 Paris.

Informations complémentaires sur le poste :
Convention collective applicable: Convention Collective de la Banque.
Responsable de recrutement: Marie-Laure Bertin.
handibanque.fr - il y a 5 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 5 jours,,,06/10/2019,vjk=511a0591ac527cd9
Data Architect / Tech Lead (H/F) / Freelance,HOXTON PARTNERS,Paris (75),600 € par semaine,"Paris (75)
Temps plein, Freelance / Indépendant
600 € par semaine
A la recherche de votre prochaine mission long terme ?

Nous recherchons un(e) consultant(e) travaillant depuis plus de 4 ans sur ces sujets.

Alors, si vous êtes familier avec l’environnement technique suivant :

✔️Hadoop, Spark
✔️Hive
✔️ELK
✔️Docker
✔️Connaissance des problématiques Datascience
✔️DevOps

Mission:
Déploiements d’infrastructure et applicatif, ainsi que l’accompagnement des équipes métier dans l’industrialisation de leurs chaines de traitement analytiques

Cette mission est faite pour vous !

N’hésitez pas à me contacter en me communiquant votre date de disponibilité et TJM
Freelance-info - il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 6 jours,,,06/10/2019,vjk=5571bc69a2a43a91
Data Architect / Architecte Big Data,SOYHUCE,Paris (75),vide,"Paris (75)
Temps plein, Temps partiel, CDI
En tant que Data Architect chez SoyHuCe, vous évoluerez au sein d’une équipe d’unevingtaine de développeurs, ingénieurs en science des données, algorithmiciens, intégrateurset graphistes. Vous travaillez en lien avec l’équipe en charge de la solution OctoData en tantque Product Owner à Paris et à Caen :
Votre rôle sera de :
Construire et faire évoluer l’infrastructure de la plateforme par des choix d’outils;
Comprendre les besoins métiers de nos clients;
Comprendre les besoins de nos Data Engineers et Data Scientists;
Apporter des compétences DevOps;
Mettre en place le monitoring des plateformes;
Prévoir la scalabilité des services, et la mettre en oeuvre suivant les besoins;
Contribuer au développement de notre offre Big Data;
Participer à la veille technologique.
Éventuellement, en appui du Data Ingénieur
Concevoir et développer des connecteurs entre les sources de données (interneset/ou externes) et la plateforme;
Concevoir et développer des pipelines de traitements de données (batch et/ou tempsréel) dans un environnement Big Data;
Accompagner nos clients sur la prise en main de notre plateforme Big Data;
Vous travaillerez conjointement avec les Data Scientists, les Data Engineers et DevOps déjàen poste et vous serez impliqué(e) dans la prise de décisions liée à notre solution Big Data età son évolution. Vous participerez également à la construction d’un pôle Data au sein del’entreprise.
Notre stack (en constante évolution):
Stockage de données: PostgreSQL, Cassandra, Kafka, ElasticSearch, S3;
Cloud: AWS;
Orchestrateurs: Kubernetes;
Traitement de données: Spark;
Machine learning: Spark, PyTorch, Scikit-Learn;
Langages: Scala, Python, Golang, Shell.
Profil recherché
Vous comprenez les avantages et inconvénients des outils, et vous savez choisir les solutionsen fonction des besoins clients pour en tirer le meilleur.
Vous avez une connaissance dans des outils d’orchestration de container, Kubernetes seraitun plus, pour être flexible dans l’amélioration des plateformes en fonction des contraintesparticulières de chaque client.
Vous êtes rigoureux(euse), ouvert(e), très curieux(euse) et adoré explorer et éprouver desnouvelles technologies.
Vous êtes passionné(e) par votre métier, aimez le faire partager, même à des personnes quine le connaissent pas.
Idéalement, vous possédez de solides bases en traitement de données avec Spark, SparkStreaming et Kafka dans un environnement Cloud ainsi qu’en base de données NoSQL. Vousavez une expérience concrète sur la mise en place de pipelines complets de valorisation dedonnées massives, de la collecte à la mise à disposition d’applications en passant par letraitement.
Vous êtes sensible aux problématiques liées à l’agilité, avez quelques notions endéveloppement Web, déploiement/maintien de solutions Big Data.
Les plus :
Entreprise en plein développement ;
Environnement de start up stimulant ;
Variété des projets et des missions, sur des champs techniques très variés ;
Implication forte dans la croissance de l’entreprise
Variétés des cas usages big data des clients ;
Environnement technologique en permanente évolution
Grande autonomie dans les choix techniques
Déroulé des entretiens
Échange téléphonique pour une durée d’environ 30 minutes;
1er entretien technique avec quelques membres de l’équipe;
2ème entretien avec le fondateur et/ou directeur général.
Nous sommes disponibles pour répondre à toutes vos questions, interrogations.
Le poste à pourvoir est un CDI, disponible immédiatement et sa rémunération selonl’expérience.
Type d'emploi : Temps plein, Temps partiel, CDI
il y a 11 jours
Signaler cette offre d'emploi",il y a 11 jours,,,06/10/2019,vjk=49e71bea7d1eea77
Data Architect F/H,ACII,Paris 2e (75),vide,"Paris 2e (75)
CDI
ACII recrute pour son client dans le secteur bancaire un Architect Big Data(F/H).

En étroite collaboration avec les DSI, équipes Data et Datascience vous serez intégré au sein d'une équipe Agile qui développe et supporte plusieurs applications.

Votre rôle sera de conseiller, d'être le support au développement et de développement des outils Hadoop dans le but de faire évoluer les applications en Scala et Spark.

Vos principales missions seront en liens avec les DSI métiers, les équipes architectures, les équipes Data et datascience.

Pour ce faire vous devrez:
Mettre à jour et suivre la mise en œuvre de la road map stratégique data.

Concevoir une architecture de donnée évolutive et cohérente avec les besoins métiers.

Accompagner les Directions Métiers et des principaux projets quant à la stratégie SI et Data.

Mettre en place l’offre de service de data architecture.

Assurer une vision prospective et faire de la veille technologique.

Urbaniser les données et connaitre les réglementations en vigueur en termes de donnée (RGPD).
Profil recherché De formation supérieure Bac+5, vous justifiez d'une expérience confirmée sur un même type de poste.

Vous avez une bonne maîtrise des socles et des architectures technologiques actuels de traitement des données : Spark, Hadoop.

Vous êtes familiarisé au travail d'équipe et la méthodologie Agile. Vous êtes bon communiquant, curieux avec le sens du service.

Un bon niveau d'anglais serait un plus.
Entreprise ACII est une ESN, PME régionale, où vous n'êtes pas un matricule ! Chez ACII

on dit ce que l'on fait et on fait ce que l’on dit

!

Une PME participative et collaborative avec l'esprit ""

corporate

"", récompensé par des primes nombreuses et variées.

L'important pour nous est que votre métier ne soit pas seulement 'alimentaire', c'est une

passion

.

Votre envie d'élargir vos compétences sera gâtée par nos principaux projets de

formation

.

Nos choix répondent à notre

stratégie

, que nous construisons en tenant compte de

vos souhaits

d'évolution.

A compétences égales

La politique d'embauche d'ACII vise à améliorer la représentation des

personnes handicapées

au sein de ses effectifs.
Apec.fr - il y a 11 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 11 jours,,,06/10/2019,vjk=a459c4e34ef76358
Data Architect Automatism (H/F),Renault,Guyancourt (78),vide,"Guyancourt (78)
Le contexte
Dans le cadre de la transformation digitale du groupe Renault, le Manufacturing se structure pour bénéficier de l’ensemble du potentiel des technologies digitales. Des objectifs ambitieux ont été fixés, au-travers de projets d'innovation et de transformation.
Dans ce cadre, les équipes Corporate de l'Ingénierie Automatisme sont en première ligne pour porter l'innovation au travers de l'usine connectée, du captage de donnée machine, des solutions de mobilité, de jumeau numérique de travail à distance (remote activity...).

Le département automatisme et robotique a en charge l'automatisation des process industriels de fabrication véhicules et mécaniques et la montée en performance des usines du groupe Renault. Il standardise les solutions techniques associées à l'automatisme, la robotique, les systèmes de Vision et les solutions digitales (principalement le captage des données) qui seront déployées dans toutes les usines du groupe.

Le poste est à pourvoir au sein du service Innovation du Département dans l'entité en charge de la création des Standards Digitaux. L'équipe se compose d'une dizaine d'ingénieurs et techniciens.
Le poste à pourvoir se situe au Technocentre à Guyancourt (78). Statut Cadre.

Votre prochain rôle
Dans l'équipe développement Digital du Département Automatisme et Robotique, votre activité de Data Architect est capitale dans le projet de développement digital :

Vous devrez définir les solutions techniques permettant la circulation des données de l'intérieur des installations industrielles (automates, capteurs, robots...) vers les réseaux de l'informatique (Data lake, Cloud...) où les traitements numériques seront réalisés ;
A partir des besoins fonctionnels que vous aurez identifiés, vous travaillerez sur la standardisation des solutions et leur déploiement dans toutes les usines du groupe ;
Vous piloterez les fournisseurs pour développer avec eux les évolutions logiciels ;
Vous piloterez l'obtention des performances et assurerez la capitalisation d'expérience en déployant ces solutions dans nos sites industriels.

Dans votre activité, vous serez amené(e) à travailler en lien étroit avec les entités informatiques du groupe, l'ensemble des acteurs du métier Automatismes et Robotique, les différents métiers du Production Engineering, des fournisseurs de solutions.

Ce poste vous permettra de renforcer vos compétences dans le domaine du digital et du métier de l'Automatisme en participant au développement de solutions actuellement non existantes dans le monde industriel.
Qui êtes-vous ?
Vous êtes diplômé(e) d'une Ecole d'Ingénieur ou d'un Master 2 d'Université en ingénierie ou informatique industrielle.
Vous avez une expérience en automatisme ou en digital dans un environnement industriel, avec idéalement une expérience sur la technologie OPC-UA.
Vous avez des connaissances en langage de programmation et architectures informatique (C-Sharp,node-JS…), méthodes et protocoles de transferts de données (OPC-UA, ModBus TCP, OPC-DA, Ethernet IP, Profinet), technologies IoT, méthode Agile.

Enthousiaste et innovant(e), vous aimez le travail en équipe, et vous avez un goût prononcé pour les nouvelles technologies et les applications digitales. Vous êtes force de proposition et créatif(ve).
Un niveau minimum de 750 au TOEIC est requis pour ce poste. Si vous n'avez pas encore passé le TOEIC au moment de votre candidature, vous pourrez le faire au cours du processus de recrutement de Renault.

Après ce poste, vous pourrez évoluer vers différents métiers du digital, de l'informatique ou des automatismes en tant que chef de projet puis manager.

Vous hésitez à postuler ? Vous avez besoin d'aide ?

Comment recrute-t-on ? https://group.renault.com/talents/rejoignez-nous/
Qu’est-ce que l’on dit du Groupe Renault ? https://www.glassdoor.fr/Avis/Renault-Avis-E3275.htm
Notre dispositif d'accueil : http://bit.ly/onboardingRenault

Vous souhaitez contribuer à l'industrie automobile de demain : mobile, connectée et autonome ? Rejoignez-nous !

#MoveOurWorldForward
il y a 10 jours
Signaler cette offre d'emploi",il y a 10 jours,,,06/10/2019,vjk=d26838dde64196f1
Ingénieur Data Architecte — H/F,Fondation A. de Rothschild,Paris (75),vide,"Paris (75)
CDI
Gestion de la mise en place d’un nouvel Entrepôt de données (en collaboration directe avec la DSI)
Gérer et encadrer la construction et l’exploitation d’un nouvel entrepôt de données (SQL et NoSQL) basé sur une technologie propriétaire.
Rédaction des spécifications générales et détaillées du projet
Mise en place des structures du projet et des règles de fonctionnement (méthodes, outils de pilotage, indicateurs...)
Évaluation des risques et hypothèses associés au projet et définition d’un plan d’actions
Pilotage et mesure de l'état d'avancement (création des tableaux de bord, choix des indicateurs, planification des comités de pilotage...)
Validation des livrables et organisation des déploiements
Gestion et réalisation des tests et recettes
Formation et aide à la conduite du changement
Organisation des interfaces et des reprises de données
Pilotage opérationnel des prestataires
Organisation de la gestion des droits utilisateurs
Mise en place de procédures écrites formalisées concernant l'utilisation des applications
Suivi des applications dans le temps (paramétrage, maintenance corrective et évolutive)
Supervision des interfaces inter applicatives, connaissance des protocoles d’échange
Accompagnement et support technique de projets métiers
Dans le cadre de l’accompagnement métier réalisé par l’Unité Data Science, la/le Data Architecte devra apporter son expérience et expertise sur des problématiques métiers précises, notamment dans le domaine de la recherche en santé.
En appui au Responsable de l’unité Data Science, il/elle sera en charge d’accompagner, d’encadrer et de réaliser techniquement des projets Data métiers (structuration de bases de données exploitables à partir de données très variées et provenant d’une grande diversité de sous bases (SQL, No SQL, fichiers, images, vidéos, son).
Autres
Etre force de proposition en termes d’évolution de l’environnement Data de la FOR (environnement Big Data Open Source notamment).
Assurer une veille technologique : actualité, nouveauté, applicatifs, outils, progiciels, matériel, ect.
Ecole d’ingénieur, Formation supérieure Bac+4 /+5
5 ans d’expérience ou plus dans le domaine des bases de données, Business Intelligence, Entrepôts de données structurées et non structurées
Compétences fortes en bases de données (Oracle, SQL Server) et langages afférents (SQL)
Mise en œuvre effective de DataWarehouse, ou mieux, de DataLake
Maitrise de solutions de type Power BI ou Qlick Sense
Bonne compréhension des architectures informatiques (infrastructure, réseaux, sécurité)
Rigoureux, autonome et responsable, organisé et aimant travailler de façon collaborative
A l’écoute des besoins utilisateurs et esprit de synthèse
Langages : SQL, Java, Python, Scala
Idéalement : connaissance du milieu médical, connaissance forte voire mise en œuvre de solutions de type NoSQL, technologies Hadoop, …
Fondation A. de Rothschild
La Fondation A. de Rothschild, située à Paris 19ème, est un établissement hospitalo-universitaire, handi-accueillant, privé à but non lucratif participant au service public. L’hôpital est leader dans le traitement chirurgical et médical des pathologies de la tête et du cou (Neurochirurgie, ORL, Ophtalmologie, Neurologie, NRI) pour les patients de tout âge.

Particulièrement dynamique, la Fondation est reconnue pour ses valeurs humanistes, sa capacité à innover, et son implication dans la recherche médicale.

Ingenieur
Expérimenté (2 à 5 ans)
CDI
Ingénieur informatique
Staffsanté - il y a 13 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 13 jours,,,06/10/2019,vjk=38a1c1b47e176651
Big Data Architect,Hirexa,Paris (75),85 000 € - 90 000 € par an,"Paris (75)
85 000 € - 90 000 € par an
Job Summary
This program is a transformation of the company and addresses issues such as:
- the control and monitoring of the result by limiting its volatility, the operational complexity of its analysis or ensuring a predictability of results.
- improve efficiency by industrialising the production processes of multi-standard accounts (Solvency 2 balance sheets, IFRS accounts, Medium Term Plan or ORSA) by creating common and shared repositories at world level.
- master the information system by adopting an innovative and agile architecture.
These challenges are reinforced by several structuring transformations to come, such as the digitization of the company or the data centric orientation of Cardif's information system.
Details of the service:
Within the management control department, and more specifically the French result monitoring department, the mission consists in taking charge of the following activities in the framework of the IFRS17 regulatory project: General Expenses (Cost Inputs) component:
- Collect business needs and formalize them
- Develop / develop local tools under SAS - knowledge of MACRO is ESSENTIAL
- Perform all recipe work (unit tests and re-run)
- Functionally and technically document the tools developed (and sometimes retrodocument existing tools)
- Train the operational staff on the tools
- Realization of presentation materials
Job Type: Full-time
Salary: 85,000.00€ to 90,000.00€ /year
Experience:
architecting: 1 year (Required)
Language:
French (Required)
Big data (Required)
il y a 20 jours
Signaler cette offre d'emploi",il y a 20 jours,,,06/10/2019,vjk=fb42eb01da18d239
